Date,Instrument,Price Close
2021-07-28,.SPX,4400.64
2021-07-29,.SPX,4419.15
2021-07-30,.SPX,4395.26
2021-08-02,.SPX,4387.16
2021-08-03,.SPX,4423.15
2021-08-04,.SPX,4402.66
2021-08-05,.SPX,4429.1
2021-08-06,.SPX,4436.52
2021-08-09,.SPX,4432.35
2021-08-10,.SPX,4436.75
2021-08-11,.SPX,4447.7
2021-08-12,.SPX,4460.83
2021-08-13,.SPX,4468.0
2021-08-16,.SPX,4479.71
2021-08-17,.SPX,4448.08
2021-08-18,.SPX,4400.27
2021-08-19,.SPX,4405.8
2021-08-20,.SPX,4441.67
2021-08-23,.SPX,4479.53
2021-08-24,.SPX,4486.23
2021-08-25,.SPX,4496.19
2021-08-26,.SPX,4470.0
2021-08-27,.SPX,4509.37
2021-08-30,.SPX,4528.79
2021-08-31,.SPX,4522.68
2021-09-01,.SPX,4524.09
2021-09-02,.SPX,4536.95
2021-09-03,.SPX,4535.43
2021-09-06,.SPX,4535.43
2021-09-07,.SPX,4520.03
2021-09-08,.SPX,4514.07
2021-09-09,.SPX,4493.28
2021-09-10,.SPX,4458.58
2021-09-13,.SPX,4468.73
2021-09-14,.SPX,4443.05
2021-09-15,.SPX,4480.7
2021-09-16,.SPX,4473.75
2021-09-17,.SPX,4432.99
2021-09-20,.SPX,4357.73
2021-09-21,.SPX,4354.19
2021-09-22,.SPX,4395.64
2021-09-23,.SPX,4448.98
2021-09-24,.SPX,4455.48
2021-09-27,.SPX,4443.11
2021-09-28,.SPX,4352.63
2021-09-29,.SPX,4359.46
2021-09-30,.SPX,4307.54
2021-10-01,.SPX,4357.04
2021-10-04,.SPX,4300.46
2021-10-05,.SPX,4345.72
2021-10-06,.SPX,4363.55
2021-10-07,.SPX,4399.76
2021-10-08,.SPX,4391.34
2021-10-11,.SPX,4361.19
2021-10-12,.SPX,4350.65
2021-10-13,.SPX,4363.8
2021-10-14,.SPX,4438.26
2021-10-15,.SPX,4471.37
2021-10-18,.SPX,4486.46
2021-10-19,.SPX,4519.63
2021-10-20,.SPX,4536.19
2021-10-21,.SPX,4549.78
2021-10-22,.SPX,4544.9
2021-10-25,.SPX,4566.48
2021-10-26,.SPX,4574.79
2021-10-27,.SPX,4551.68
2021-10-28,.SPX,4596.42
2021-10-29,.SPX,4605.38
2021-11-01,.SPX,4613.67
2021-11-02,.SPX,4630.65
2021-11-03,.SPX,4660.57
2021-11-04,.SPX,4680.06
2021-11-05,.SPX,4697.53
2021-11-08,.SPX,4701.7
2021-11-09,.SPX,4685.25
2021-11-10,.SPX,4646.71
2021-11-11,.SPX,4649.27
2021-11-12,.SPX,4682.85
2021-11-15,.SPX,4682.8
2021-11-16,.SPX,4700.9
2021-11-17,.SPX,4688.67
2021-11-18,.SPX,4704.54
2021-11-19,.SPX,4697.96
2021-11-22,.SPX,4682.94
2021-11-23,.SPX,4690.7
2021-11-24,.SPX,4701.46
2021-11-25,.SPX,4701.46
2021-11-26,.SPX,4594.62
2021-11-29,.SPX,4655.27
2021-11-30,.SPX,4567.0
2021-12-01,.SPX,4513.04
2021-12-02,.SPX,4577.1
2021-12-03,.SPX,4538.43
2021-12-06,.SPX,4591.67
2021-12-07,.SPX,4686.75
2021-12-08,.SPX,4701.21
2021-12-09,.SPX,4667.45
2021-12-10,.SPX,4712.02
2021-12-13,.SPX,4668.97
2021-12-14,.SPX,4634.09
2021-12-15,.SPX,4709.85
2021-12-16,.SPX,4668.67
2021-12-17,.SPX,4620.64
2021-12-20,.SPX,4568.02
2021-12-21,.SPX,4649.23
2021-12-22,.SPX,4696.56
2021-12-23,.SPX,4725.79
2021-12-24,.SPX,4725.79
2021-12-27,.SPX,4791.19
2021-12-28,.SPX,4786.35
2021-12-29,.SPX,4793.06
2021-12-30,.SPX,4778.73
2021-12-31,.SPX,4766.18
2022-01-03,.SPX,4796.56
2022-01-04,.SPX,4793.54
2022-01-05,.SPX,4700.58
2022-01-06,.SPX,4696.05
2022-01-07,.SPX,4677.03
2022-01-10,.SPX,4670.29
2022-01-11,.SPX,4713.07
2022-01-12,.SPX,4726.35
2022-01-13,.SPX,4659.03
2022-01-14,.SPX,4662.85
2022-01-17,.SPX,4662.85
2022-01-18,.SPX,4577.11
2022-01-19,.SPX,4532.76
2022-01-20,.SPX,4482.73
2022-01-21,.SPX,4397.94
2022-01-24,.SPX,4410.13
2022-01-25,.SPX,4356.45
2022-01-26,.SPX,4349.93
2022-01-27,.SPX,4326.51
2022-01-28,.SPX,4431.85
2022-01-31,.SPX,4515.55
2022-02-01,.SPX,4546.54
2022-02-02,.SPX,4589.38
2022-02-03,.SPX,4477.44
2022-02-04,.SPX,4500.53
2022-02-07,.SPX,4483.87
2022-02-08,.SPX,4521.54
2022-02-09,.SPX,4587.18
2022-02-10,.SPX,4504.08
2022-02-11,.SPX,4418.64
2022-02-14,.SPX,4401.67
2022-02-15,.SPX,4471.07
2022-02-16,.SPX,4475.01
2022-02-17,.SPX,4380.26
2022-02-18,.SPX,4348.87
2022-02-21,.SPX,4348.87
2022-02-22,.SPX,4304.76
2022-02-23,.SPX,4225.5
2022-02-24,.SPX,4288.7
2022-02-25,.SPX,4384.65
2022-02-28,.SPX,4373.94
2022-03-01,.SPX,4306.26
2022-03-02,.SPX,4386.54
2022-03-03,.SPX,4363.49
2022-03-04,.SPX,4328.87
2022-03-07,.SPX,4201.09
2022-03-08,.SPX,4170.7
2022-03-09,.SPX,4277.88
2022-03-10,.SPX,4259.52
2022-03-11,.SPX,4204.31
2022-03-14,.SPX,4173.11
2022-03-15,.SPX,4262.45
2022-03-16,.SPX,4357.86
2022-03-17,.SPX,4411.67
2022-03-18,.SPX,4463.12
2022-03-21,.SPX,4461.18
2022-03-22,.SPX,4511.61
2022-03-23,.SPX,4456.24
2022-03-24,.SPX,4520.16
2022-03-25,.SPX,4543.06
2022-03-28,.SPX,4575.52
2022-03-29,.SPX,4631.6
2022-03-30,.SPX,4602.45
2022-03-31,.SPX,4530.41
2022-04-01,.SPX,4545.86
2022-04-04,.SPX,4582.64
2022-04-05,.SPX,4525.12
2022-04-06,.SPX,4481.15
2022-04-07,.SPX,4500.21
2022-04-08,.SPX,4488.28
2022-04-11,.SPX,4412.53
2022-04-12,.SPX,4397.45
2022-04-13,.SPX,4446.59
2022-04-14,.SPX,4392.59
2022-04-15,.SPX,4392.59
2022-04-18,.SPX,4391.69
2022-04-19,.SPX,4462.21
2022-04-20,.SPX,4459.45
2022-04-21,.SPX,4393.66
2022-04-22,.SPX,4271.78
2022-04-25,.SPX,4296.12
2022-04-26,.SPX,4175.2
2022-04-27,.SPX,4183.96
2022-04-28,.SPX,4287.5
2022-04-29,.SPX,4131.93
2022-05-02,.SPX,4155.38
2022-05-03,.SPX,4175.48
2022-05-04,.SPX,4300.17
2022-05-05,.SPX,4146.87
2022-05-06,.SPX,4123.34
2022-05-09,.SPX,3991.24
2022-05-10,.SPX,4001.05
2022-05-11,.SPX,3935.18
2022-05-12,.SPX,3930.08
2022-05-13,.SPX,4023.89
2022-05-16,.SPX,4008.01
2022-05-17,.SPX,4088.85
2022-05-18,.SPX,3923.68
2022-05-19,.SPX,3900.79
2022-05-20,.SPX,3901.36
2022-05-23,.SPX,3973.75
2022-05-24,.SPX,3941.48
