event_id_cnty,event_date
ESP16553,2024-03-22
ESP16554,2024-03-22
ESP16558,2024-03-22
ESP16560,2024-03-22
ESP16561,2024-03-22
ESP16569,2024-03-22
ESP16570,2024-03-22
ESP16573,2024-03-22
ESP16575,2024-03-22
ESP16590,2024-03-22
ESP16593,2024-03-22
ESP16594,2024-03-22
ESP16599,2024-03-22
ESP16600,2024-03-22
ESP16607,2024-03-22
ESP16608,2024-03-22
ESP16609,2024-03-22
ESP16610,2024-03-22
ESP16616,2024-03-22
ESP16617,2024-03-22
FIN1262,2024-03-22
FRA31807,2024-03-22
FRA31810,2024-03-22
FRA31831,2024-03-22
FRA31832,2024-03-22
FRA31847,2024-03-22
FRA31854,2024-03-22
FRA31858,2024-03-22
FRA31860,2024-03-22
FRA31863,2024-03-22
FRA31865,2024-03-22
FRA31868,2024-03-22
FRA31871,2024-03-22
FRA31872,2024-03-22
FRA31873,2024-03-22
FRA31875,2024-03-22
FRA31879,2024-03-22
FRA31885,2024-03-22
FRA31887,2024-03-22
FRA31889,2024-03-22
FRA31896,2024-03-22
FRA31898,2024-03-22
FRA31909,2024-03-22
FRA31910,2024-03-22
FRA31911,2024-03-22
FRA31920,2024-03-22
FRA31921,2024-03-22
FRA31923,2024-03-22
FRA31937,2024-03-22
FRA31939,2024-03-22
FRA31946,2024-03-22
FRA31948,2024-03-22
FRA31952,2024-03-22
FRA31964,2024-03-22
FRA31967,2024-03-22
FRA31972,2024-03-22
FRA31975,2024-03-22
FRA31979,2024-03-22
FRA31980,2024-03-22
FRA31989,2024-03-22
FRA31993,2024-03-22
FRA31994,2024-03-22
FRA31995,2024-03-22
GRC5299,2024-03-22
GRC5300,2024-03-22
HUN1052,2024-03-22
HUN1053,2024-03-22
IDN16224,2024-03-22
IDN16225,2024-03-22
IDN16240,2024-03-22
IDN16241,2024-03-22
IDN16254,2024-03-22
IDN16255,2024-03-22
IDN16273,2024-03-22
IDN16277,2024-03-22
IND153679,2024-03-22
IND153695,2024-03-22
IND153698,2024-03-22
IND153702,2024-03-22
IND153703,2024-03-22
IND153704,2024-03-22
IND153705,2024-03-22
IND153706,2024-03-22
IND153707,2024-03-22
